Fecha,Posición,Canción,Artista
2010-04-30,872,"Beamer, Benz, Or Bentley",Lloyd Banks Featuring Juelz Santana
2010-04-30,886,Pray For You,Jaron And The Long Road To Love
2010-04-30,900,A Little More Country Than That,Easton Corbin
2010-04-30,914,"Hello, I Love You",Glee Cast
2010-04-30,928,Steady Mobbin',Young Money Featuring Gucci Mane
2010-04-30,942,I'm Back,T.I.
2010-04-30,956,Lemonade,Gucci Mane
2010-04-30,970,Drop The World,Lil Wayne Featuring Eminem
2010-04-30,984,Rain Is A Good Thing,Luke Bryan
2010-04-30,998,'Til Summer Comes Around,Keith Urban
2010-04-30,1012,Temporary Home,Carrie Underwood
2010-04-30,1026,Hell On The Heart,Eric Church
2010-04-30,1040,Roger That,Young Money
2010-04-30,1054,This Afternoon,Nickelback
2010-04-30,1068,Hillbilly Bone,Blake Shelton Featuring Trace Adkins
2010-04-30,1082,Unstoppable,Rascal Flatts
2010-04-30,1096,Keep On Lovin' You,Steel Magnolia
2010-04-30,1110,You And Your Heart,Jack Johnson
2010-04-30,1124,I Never Told You,Colbie Caillat
2010-04-30,1138,Backwoods,Justin Moore
2010-04-30,1152,Un-Thinkable (I'm Ready),Alicia Keys
2010-04-30,1166,Fearless,Taylor Swift
2010-04-30,1180,I Gotta Get To You,George Strait
2010-04-30,1194,There Goes My Baby,Usher
2010-04-30,1208,Wrong Baby Wrong,Martina McBride
2010-04-30,1222,Sex Therapy,Robin Thicke
2010-04-30,1236,She Won't Be Lonely Long,Clay Walker
2010-04-30,1250,I Am,Mary J. Blige
2010-04-30,1264,All The Way Turnt Up,Roscoe Dash Featuring Soulja Boy Tell'em
2010-04-30,1278,Crazy Town,Jason Aldean
2010-04-30,1292,O Let's Do It,Waka Flocka Flame
2010-04-30,1306,Ridin' Solo,Jason Derulo
2010-04-30,1320,Just Breathe,Pearl Jam
2010-04-30,1334,All I Ever Wanted,Kelly Clarkson
2010-04-30,1348,Give Me A Sign (Forever And Ever),Breaking Benjamin
2010-04-30,1362,On To The Next One,Jay-Z + Swizz Beatz
2010-04-30,1376,That's How Country Boys Roll,Billy Currington
2010-04-30,1390,Water,Brad Paisley
2010-05-07,4,Nothin' On You,B.o.B Featuring Bruno Mars
2010-05-07,18,Rude Boy,Rihanna
2010-05-07,32,Break Your Heart,Taio Cruz Featuring Ludacris
2010-05-07,46,Need You Now,Lady Antebellum
2010-05-07,60,"Hey, Soul Sister",Train
2010-05-07,74,OMG,Usher Featuring will.i.am
2010-05-07,88,In My Head,Jason Derulo
2010-05-07,102,Your Love Is My Drug,Ke$ha
2010-05-07,116,Airplanes,B.o.B Featuring Hayley Williams
2010-05-07,130,Telephone,Lady Gaga Featuring Beyonce
2010-05-07,144,My Chick Bad,Ludacris Featuring Nicki Minaj
2010-05-07,158,Young Forever,Jay-Z + Mr. Hudson
2010-05-07,172,Whataya Want From Me,Adam Lambert
2010-05-07,186,Breakeven,The Script
2010-05-07,200,Imma Be,The Black Eyed Peas
2010-05-07,214,Over,Drake
2010-05-07,228,TiK ToK,Ke$ha
2010-05-07,242,Say Aah,Trey Songz Featuring Fabolous
2010-05-07,256,Carry Out,Timbaland Featuring Justin Timberlake
2010-05-07,270,Alejandro,Lady Gaga
2010-05-07,284,Baby,Justin Bieber Featuring Ludacris
2010-05-07,298,All The Right Moves,OneRepublic
2010-05-07,312,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne"
2010-05-07,326,BedRock,Young Money Featuring Lloyd
2010-05-07,340,American Honey,Lady Antebellum
2010-05-07,354,Eenie Meenie,Sean Kingston & Justin Bieber
2010-05-07,368,Like A Prayer,Glee Cast Featuring Jonathan Groff
2010-05-07,382,Bad Romance,Lady Gaga
2010-05-07,396,Hey Daddy (Daddy's Home),Usher Featuring Plies
2010-05-07,410,The House That Built Me,Miranda Lambert
2010-05-07,424,Haven't Met You Yet,Michael Buble
2010-05-07,438,Solo,Iyaz
2010-05-07,452,Live Like We're Dying,Kris Allen
2010-05-07,466,Gimmie That Girl,Joe Nichols
2010-05-07,480,Bulletproof,La Roux
2010-05-07,494,Naturally,Selena Gomez & The Scene
2010-05-07,508,Say Something,Timbaland Featuring Drake
2010-05-07,522,I Gotta Feeling,The Black Eyed Peas
2010-05-07,536,How Low,Ludacris
2010-05-07,550,Lil Freak,Usher Featuring Nicki Minaj
2010-05-07,564,Billionaire,Travie McCoy Featuring Bruno Mars
2010-05-07,578,Winner,Jamie Foxx Featuring Justin Timberlake & T .I.
2010-05-07,592,Sexy Chick,David Guetta Featuring Akon
2010-05-07,606,Everything To Me,Monica
2010-05-07,620,All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross"
2010-05-07,634,Neighbors Know My Name,Trey Songz
2010-05-07,648,If We Ever Meet Again,Timbaland Featuring Katy Perry
2010-05-07,662,According To You,Orianthi
2010-05-07,676,Not Myself Tonight,Christina Aguilera
2010-05-07,690,Ain't Back Yet,Kenny Chesney
2010-05-07,704,Highway 20 Ride,Zac Brown Band
2010-05-07,718,Heartbreak Warfare,John Mayer
2010-05-07,732,The Man I Want To Be,Chris Young
2010-05-07,746,Rain Is A Good Thing,Luke Bryan
2010-05-07,760,I'm Awesome,Spose
2010-05-07,774,"Beamer, Benz, Or Bentley",Lloyd Banks Featuring Juelz Santana
2010-05-07,788,Pray For You,Jaron And The Long Road To Love
2010-05-07,802,Un-Thinkable (I'm Ready),Alicia Keys
2010-05-07,816,Halfway Gone,Lifehouse
2010-05-07,830,Blah Blah Blah,Ke$ha Featuring 3OH!3
2010-05-07,844,Temporary Home,Carrie Underwood
2010-05-07,858,I'm Back,T.I.
2010-05-07,872,This Afternoon,Nickelback
2010-05-07,886,Hello Good Morning,Diddy - Dirty Money Featuring T.I.
2010-05-07,900,Today Was A Fairytale,Taylor Swift
2010-05-07,914,Unstoppable,Rascal Flatts
2010-05-07,928,Roger That,Young Money
2010-05-07,942,When I Look At You,Miley Cyrus
2010-05-07,956,Hell On The Heart,Eric Church
2010-05-07,970,Steady Mobbin',Young Money Featuring Gucci Mane
2010-05-07,984,Hillbilly Bone,Blake Shelton Featuring Trace Adkins
2010-05-07,998,Bet I,B.o.B Featuring T.I. & Playboy Tre
2010-05-07,1012,Keep On Lovin' You,Steel Magnolia
2010-05-07,1026,A Little More Country Than That,Easton Corbin
2010-05-07,1040,Drop The World,Lil Wayne Featuring Eminem
2010-05-07,1054,I Never Told You,Colbie Caillat
2010-05-07,1068,Backwoods,Justin Moore
2010-05-07,1082,Borderline / Open Your Heart,Glee Cast
2010-05-07,1096,Crazy Town,Jason Aldean
2010-05-07,1110,There Goes My Baby,Usher
2010-05-07,1124,I Gotta Get To You,George Strait
2010-05-07,1138,'Til Summer Comes Around,Keith Urban
2010-05-07,1152,She Won't Be Lonely Long,Clay Walker
2010-05-07,1166,Water,Brad Paisley
2010-05-07,1180,Wrong Baby Wrong,Martina McBride
2010-05-07,1194,Lemonade,Gucci Mane
2010-05-07,1208,Like A Virgin,Glee Cast
2010-05-07,1222,Impossible,Shontelle
2010-05-07,1236,4 Minutes,Glee Cast
2010-05-07,1250,I Keep On Loving You,Reba
2010-05-07,1264,Still,Tim McGraw
2010-05-07,1278,Gives You Hell,Glee Cast
2010-05-07,1292,Ride,Ciara Featuring Ludacris
2010-05-07,1306,I Am,Mary J. Blige
2010-05-07,1320,Kissin U,Miranda Cosgrove
2010-05-07,1334,All I Ever Wanted,Kelly Clarkson
2010-05-07,1348,Give Me A Sign (Forever And Ever),Breaking Benjamin
2010-05-07,1362,Love King,The-Dream
2010-05-07,1376,O Let's Do It,Waka Flocka Flame
2010-05-07,1390,Sex Therapy,Robin Thicke
2010-05-14,4,OMG,Usher Featuring will.i.am
2010-05-14,18,Nothin' On You,B.o.B Featuring Bruno Mars
2010-05-14,32,Rude Boy,Rihanna
2010-05-14,46,Break Your Heart,Taio Cruz Featuring Ludacris
2010-05-14,60,Need You Now,Lady Antebellum
2010-05-14,74,"Hey, Soul Sister",Train
2010-05-14,88,Airplanes,B.o.B Featuring Hayley Williams
2010-05-14,102,Your Love Is My Drug,Ke$ha
2010-05-14,116,In My Head,Jason Derulo
2010-05-14,130,Young Forever,Jay-Z + Mr. Hudson
2010-05-14,144,My Chick Bad,Ludacris Featuring Nicki Minaj
2010-05-14,158,Breakeven,The Script
2010-05-14,172,Telephone,Lady Gaga Featuring Beyonce
2010-05-14,186,Over,Drake
2010-05-14,200,Eenie Meenie,Sean Kingston & Justin Bieber
2010-05-14,214,Alejandro,Lady Gaga
2010-05-14,228,Imma Be,The Black Eyed Peas
2010-05-14,242,Whataya Want From Me,Adam Lambert
2010-05-14,256,TiK ToK,Ke$ha
2010-05-14,270,Say Aah,Trey Songz Featuring Fabolous
2010-05-14,284,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne"
2010-05-14,298,Carry Out,Timbaland Featuring Justin Timberlake
2010-05-14,312,All The Right Moves,OneRepublic
2010-05-14,326,Hey Daddy (Daddy's Home),Usher Featuring Plies
2010-05-14,340,Bad Romance,Lady Gaga
2010-05-14,354,Baby,Justin Bieber Featuring Ludacris
2010-05-14,368,American Honey,Lady Antebellum
2010-05-14,382,Billionaire,Travie McCoy Featuring Bruno Mars
2010-05-14,396,Bulletproof,La Roux
2010-05-14,410,Haven't Met You Yet,Michael Buble
2010-05-14,424,BedRock,Young Money Featuring Lloyd
2010-05-14,438,Winner,Jamie Foxx Featuring Justin Timberlake & T .I.
2010-05-14,452,Solo,Iyaz
2010-05-14,466,Gimmie That Girl,Joe Nichols
2010-05-14,480,Naturally,Selena Gomez & The Scene
2010-05-14,494,The House That Built Me,Miranda Lambert
2010-05-14,508,If We Ever Meet Again,Timbaland Featuring Katy Perry
2010-05-14,522,I Gotta Feeling,The Black Eyed Peas
2010-05-14,536,All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross"
2010-05-14,550,Lil Freak,Usher Featuring Nicki Minaj
2010-05-14,564,Live Like We're Dying,Kris Allen
2010-05-14,578,Say Something,Timbaland Featuring Drake
2010-05-14,592,Neighbors Know My Name,Trey Songz
2010-05-14,606,Un-Thinkable (I'm Ready),Alicia Keys
2010-05-14,620,Sexy Chick,David Guetta Featuring Akon
2010-05-14,634,Not Myself Tonight,Christina Aguilera
2010-05-14,648,How Low,Ludacris
2010-05-14,662,The Man I Want To Be,Chris Young
2010-05-14,676,"Beamer, Benz, Or Bentley",Lloyd Banks Featuring Juelz Santana
2010-05-14,690,Everything To Me,Monica
2010-05-14,704,Pray For You,Jaron And The Long Road To Love
2010-05-14,718,Ain't Back Yet,Kenny Chesney
2010-05-14,732,One Less Bell To Answer / A House Is Not A Home,Glee Cast Featuring Kristin Chenoweth
2010-05-14,746,Kissin U,Miranda Cosgrove
2010-05-14,760,This Afternoon,Nickelback
2010-05-14,774,Roger That,Young Money
2010-05-14,788,Highway 20 Ride,Zac Brown Band
2010-05-14,802,Rain Is A Good Thing,Luke Bryan
2010-05-14,816,I'm Back,T.I.
2010-05-14,830,Unstoppable,Rascal Flatts
2010-05-14,844,Beautiful,Glee Cast
2010-05-14,858,Rock That Body,The Black Eyed Peas
2010-05-14,872,I'm Awesome,Spose
2010-05-14,886,Fire,Glee Cast Featuring Kristin Chenoweth
2010-05-14,900,Gypsy,Shakira
2010-05-14,914,There Goes My Baby,Usher
2010-05-14,928,Hell On The Heart,Eric Church
2010-05-14,942,I Never Told You,Colbie Caillat
2010-05-14,956,Backwoods,Justin Moore
2010-05-14,970,A House Is Not A Home,Glee Cast
2010-05-14,984,Impossible,Shontelle
2010-05-14,998,Keep On Lovin' You,Steel Magnolia
2010-05-14,1012,Blah Blah Blah,Ke$ha Featuring 3OH!3
2010-05-14,1026,Drop The World,Lil Wayne Featuring Eminem
2010-05-14,1040,She Won't Be Lonely Long,Clay Walker
2010-05-14,1054,Crazy Town,Jason Aldean
2010-05-14,1068,I Gotta Get To You,George Strait
2010-05-14,1082,Water,Brad Paisley
2010-05-14,1096,Ride,Ciara Featuring Ludacris
2010-05-14,1110,Steady Mobbin',Young Money Featuring Gucci Mane
2010-05-14,1124,Today Was A Fairytale,Taylor Swift
2010-05-14,1138,Hello Good Morning,Diddy - Dirty Money Featuring T.I.
2010-05-14,1152,Magic,B.o.B Featuring Rivers Cuomo
2010-05-14,1166,Temporary Home,Carrie Underwood
2010-05-14,1180,Cooler Than Me,Mike Posner
2010-05-14,1194,A Little More Country Than That,Easton Corbin
2010-05-14,1208,Hillbilly Bone,Blake Shelton Featuring Trace Adkins
2010-05-14,1222,Wrong Baby Wrong,Martina McBride
2010-05-14,1236,"Lover, Lover",Jerrod Niemann
2010-05-14,1250,Home,Glee Cast Featuring Kristin Chenoweth
2010-05-14,1264,When I Look At You,Miley Cyrus
2010-05-14,1278,I Keep On Loving You,Reba
2010-05-14,1292,Halfway There,Big Time Rush
2010-05-14,1306,'Til Summer Comes Around,Keith Urban
2010-05-14,1320,Gettin' Over You,David Guetta & Chris Willis Featuring Fergie & LMFAO
2010-05-14,1334,Like A Prayer,Glee Cast Featuring Jonathan Groff
2010-05-14,1348,All I Ever Wanted,Kelly Clarkson
2010-05-14,1362,Love King,The-Dream
2010-05-14,1376,Give Me A Sign (Forever And Ever),Breaking Benjamin
2010-05-14,1390,New Morning,Alpha Rev
2010-05-21,4,Not Afraid,Eminem
2010-05-21,18,OMG,Usher Featuring will.i.am
2010-05-21,32,Nothin' On You,B.o.B Featuring Bruno Mars
2010-05-21,46,Break Your Heart,Taio Cruz Featuring Ludacris
2010-05-21,60,Airplanes,B.o.B Featuring Hayley Williams
2010-05-21,74,Rude Boy,Rihanna
2010-05-21,88,"Hey, Soul Sister",Train
2010-05-21,102,Your Love Is My Drug,Ke$ha
2010-05-21,116,My First Kiss,3OH!3 Featuring Ke$ha
2010-05-21,130,Need You Now,Lady Antebellum
2010-05-21,144,Alejandro,Lady Gaga
2010-05-21,158,Young Forever,Jay-Z + Mr. Hudson
2010-05-21,172,In My Head,Jason Derulo
2010-05-21,186,Telephone,Lady Gaga Featuring Beyonce
2010-05-21,200,My Chick Bad,Ludacris Featuring Nicki Minaj
2010-05-21,214,Total Eclipse Of The Heart,Glee Cast Featuring Jonathan Groff
2010-05-21,228,Over,Drake
2010-05-21,242,Eenie Meenie,Sean Kingston & Justin Bieber
2010-05-21,256,Breakeven,The Script
2010-05-21,270,Imma Be,The Black Eyed Peas
2010-05-21,284,TiK ToK,Ke$ha
2010-05-21,298,Billionaire,Travie McCoy Featuring Bruno Mars
2010-05-21,312,Bulletproof,La Roux
2010-05-21,326,Whataya Want From Me,Adam Lambert
2010-05-21,340,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne"
2010-05-21,354,Say Aah,Trey Songz Featuring Fabolous
2010-05-21,368,Carry Out,Timbaland Featuring Justin Timberlake
2010-05-21,382,Haven't Met You Yet,Michael Buble
2010-05-21,396,All The Right Moves,OneRepublic
2010-05-21,410,Winner,Jamie Foxx Featuring Justin Timberlake & T .I.
2010-05-21,424,Bad Romance,Lady Gaga
2010-05-21,438,Hey Daddy (Daddy's Home),Usher Featuring Plies
2010-05-21,452,The House That Built Me,Miranda Lambert
2010-05-21,466,Find Your Love,Drake
2010-05-21,480,Lose My Mind,Young Jeezy Featuring Plies
2010-05-21,494,Rock That Body,The Black Eyed Peas
2010-05-21,508,American Honey,Lady Antebellum
2010-05-21,522,Baby,Justin Bieber Featuring Ludacris
2010-05-21,536,Solo,Iyaz
2010-05-21,550,Naturally,Selena Gomez & The Scene
2010-05-21,564,Gimmie That Girl,Joe Nichols
2010-05-21,578,BedRock,Young Money Featuring Lloyd
2010-05-21,592,All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross"
2010-05-21,606,If We Ever Meet Again,Timbaland Featuring Katy Perry
2010-05-21,620,I Gotta Feeling,The Black Eyed Peas
2010-05-21,634,Un-Thinkable (I'm Ready),Alicia Keys
2010-05-21,648,Not Myself Tonight,Christina Aguilera
2010-05-21,662,Live Like We're Dying,Kris Allen
2010-05-21,676,Lil Freak,Usher Featuring Nicki Minaj
2010-05-21,690,Sexy Chick,David Guetta Featuring Akon
2010-05-21,704,The Man I Want To Be,Chris Young
2010-05-21,718,Neighbors Know My Name,Trey Songz
2010-05-21,732,This Afternoon,Nickelback
2010-05-21,746,Pray For You,Jaron And The Long Road To Love
2010-05-21,760,Ain't Back Yet,Kenny Chesney
2010-05-21,774,Everything To Me,Monica
2010-05-21,788,Impossible,Shontelle
2010-05-21,802,"Beamer, Benz, Or Bentley",Lloyd Banks Featuring Juelz Santana
2010-05-21,816,Rain Is A Good Thing,Luke Bryan
2010-05-21,830,Say Something,Timbaland Featuring Drake
2010-05-21,844,Run Joey Run,Glee Cast Featuring Jonathan Groff
2010-05-21,858,I'm Back,T.I.
2010-05-21,872,Roger That,Young Money
2010-05-21,886,Cooler Than Me,Mike Posner
2010-05-21,900,I Never Told You,Colbie Caillat
2010-05-21,914,Unstoppable,Rascal Flatts
2010-05-21,928,There Goes My Baby,Usher
2010-05-21,942,Highway 20 Ride,Zac Brown Band
2010-05-21,956,She Won't Be Lonely Long,Clay Walker
2010-05-21,970,Hell On The Heart,Eric Church
2010-05-21,984,Keep On Lovin' You,Steel Magnolia
2010-05-21,998,Backwoods,Justin Moore
2010-05-21,1012,Water,Brad Paisley
2010-05-21,1026,Ice Ice Baby,Glee Cast
2010-05-21,1040,"Lover, Lover",Jerrod Niemann
2010-05-21,1054,Crazy Town,Jason Aldean
2010-05-21,1068,I Gotta Get To You,George Strait
2010-05-21,1082,Drop The World,Lil Wayne Featuring Eminem
2010-05-21,1096,I'm Awesome,Spose
2010-05-21,1110,Blah Blah Blah,Ke$ha Featuring 3OH!3
2010-05-21,1124,Steady Mobbin',Young Money Featuring Gucci Mane
2010-05-21,1138,Wrong Baby Wrong,Martina McBride
2010-05-21,1152,A Little More Country Than That,Easton Corbin
2010-05-21,1166,Gypsy,Shakira
2010-05-21,1180,Today Was A Fairytale,Taylor Swift
2010-05-21,1194,Hillbilly Bone,Blake Shelton Featuring Trace Adkins
2010-05-21,1208,Hello Good Morning,Diddy - Dirty Money Featuring T.I.
2010-05-21,1222,Gettin' Over You,David Guetta & Chris Willis Featuring Fergie & LMFAO
2010-05-21,1236,Physical,Glee Cast Featuring Olivia Newton-John
2010-05-21,1250,I Keep On Loving You,Reba
2010-05-21,1264,Kissin U,Miranda Cosgrove
2010-05-21,1278,U Can't Touch This,Glee Cast
2010-05-21,1292,Temporary Home,Carrie Underwood
2010-05-21,1306,When I Look At You,Miley Cyrus
2010-05-21,1320,Undo It,Carrie Underwood
2010-05-21,1334,Ride,Ciara Featuring Ludacris
2010-05-21,1348,Love Like Crazy,Lee Brice
2010-05-21,1362,All I Ever Wanted,Kelly Clarkson
2010-05-21,1376,All Or Nothing,Theory Of A Deadman
2010-05-21,1390,Give Me A Sign (Forever And Ever),Breaking Benjamin
2010-05-28,4,OMG,Usher Featuring will.i.am
2010-05-28,18,California Gurls,Katy Perry Featuring Snoop Dogg
2010-05-28,32,Airplanes,B.o.B Featuring Hayley Williams
2010-05-28,46,Nothin' On You,B.o.B Featuring Bruno Mars
2010-05-28,60,Break Your Heart,Taio Cruz Featuring Ludacris
2010-05-28,74,Not Afraid,Eminem
2010-05-28,88,Your Love Is My Drug,Ke$ha
2010-05-28,102,Alejandro,Lady Gaga
2010-05-28,116,Rude Boy,Rihanna
2010-05-28,130,"Hey, Soul Sister",Train
2010-05-28,144,Young Forever,Jay-Z + Mr. Hudson
2010-05-28,158,Need You Now,Lady Antebellum
2010-05-28,172,In My Head,Jason Derulo
2010-05-28,186,My Chick Bad,Ludacris Featuring Nicki Minaj
2010-05-28,200,Over,Drake
2010-05-28,214,Breakeven,The Script
2010-05-28,228,Telephone,Lady Gaga Featuring Beyonce
2010-05-28,242,Billionaire,Travie McCoy Featuring Bruno Mars
2010-05-28,256,Bulletproof,La Roux
2010-05-28,270,Find Your Love,Drake
2010-05-28,284,My First Kiss,3OH!3 Featuring Ke$ha
2010-05-28,298,Eenie Meenie,Sean Kingston & Justin Bieber
2010-05-28,312,Jessie's Girl,Glee Cast
2010-05-28,326,Rock That Body,The Black Eyed Peas
2010-05-28,340,TiK ToK,Ke$ha
2010-05-28,354,Haven't Met You Yet,Michael Buble
2010-05-28,368,Imma Be,The Black Eyed Peas
2010-05-28,382,Whataya Want From Me,Adam Lambert
2010-05-28,396,Winner,Jamie Foxx Featuring Justin Timberlake & T .I.
2010-05-28,410,The House That Built Me,Miranda Lambert
2010-05-28,424,Say Aah,Trey Songz Featuring Fabolous
2010-05-28,438,Carry Out,Timbaland Featuring Justin Timberlake
2010-05-28,452,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne"
2010-05-28,466,Bad Romance,Lady Gaga
2010-05-28,480,Un-Thinkable (I'm Ready),Alicia Keys
2010-05-28,494,All The Right Moves,OneRepublic
2010-05-28,508,Hey Daddy (Daddy's Home),Usher Featuring Plies
2010-05-28,522,Baby,Justin Bieber Featuring Ludacris
2010-05-28,536,If We Ever Meet Again,Timbaland Featuring Katy Perry
2010-05-28,550,All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross"
2010-05-28,564,I Gotta Feeling,The Black Eyed Peas
2010-05-28,578,Naturally,Selena Gomez & The Scene
2010-05-28,592,American Honey,Lady Antebellum
2010-05-28,606,Lose My Mind,Young Jeezy Featuring Plies
2010-05-28,620,Gimmie That Girl,Joe Nichols
2010-05-28,634,This Afternoon,Nickelback
2010-05-28,648,BedRock,Young Money Featuring Lloyd
2010-05-28,662,Pray For You,Jaron And The Long Road To Love
2010-05-28,676,Lil Freak,Usher Featuring Nicki Minaj
2010-05-28,690,Live Like We're Dying,Kris Allen
2010-05-28,704,Impossible,Shontelle
2010-05-28,718,The Man I Want To Be,Chris Young
2010-05-28,732,Solo,Iyaz
2010-05-28,746,Cooler Than Me,Mike Posner
2010-05-28,760,"Beamer, Benz, Or Bentley",Lloyd Banks Featuring Juelz Santana
2010-05-28,774,Pyramid,Charice Featuring Iyaz
2010-05-28,788,Not Myself Tonight,Christina Aguilera
2010-05-28,802,Rain Is A Good Thing,Luke Bryan
2010-05-28,816,Neighbors Know My Name,Trey Songz
2010-05-28,830,One,Glee Cast
2010-05-28,844,I'm Back,T.I.
2010-05-28,858,Ain't Back Yet,Kenny Chesney
2010-05-28,872,I Never Told You,Colbie Caillat
2010-05-28,886,There Goes My Baby,Usher
2010-05-28,900,Water,Brad Paisley
2010-05-28,914,Roger That,Young Money
2010-05-28,928,"Lover, Lover",Jerrod Niemann
2010-05-28,942,Keep On Lovin' You,Steel Magnolia
2010-05-28,956,Everything To Me,Monica
2010-05-28,970,She Won't Be Lonely Long,Clay Walker
2010-05-28,984,Unstoppable,Rascal Flatts
2010-05-28,998,Total Eclipse Of The Heart,Glee Cast Featuring Jonathan Groff
2010-05-28,1012,Undo It,Carrie Underwood
2010-05-28,1026,Say Something,Timbaland Featuring Drake
2010-05-28,1040,Drop The World,Lil Wayne Featuring Eminem
2010-05-28,1054,The Boy Is Mine,Glee Cast
2010-05-28,1068,Crazy Town,Jason Aldean
2010-05-28,1082,I Gotta Get To You,George Strait
2010-05-28,1096,Hell On The Heart,Eric Church
2010-05-28,1110,Highway 20 Ride,Zac Brown Band
2010-05-28,1124,Lady Is A Tramp,Glee Cast
2010-05-28,1138,I'm Single,Lil Wayne
2010-05-28,1152,Gettin' Over You,David Guetta & Chris Willis Featuring Fergie & LMFAO
2010-05-28,1166,Backwoods,Justin Moore
2010-05-28,1180,Hello Good Morning,Diddy - Dirty Money Featuring T.I.
2010-05-28,1194,Blah Blah Blah,Ke$ha Featuring 3OH!3
2010-05-28,1208,Wrong Baby Wrong,Martina McBride
2010-05-28,1222,Steady Mobbin',Young Money Featuring Gucci Mane
2010-05-28,1236,I Like It,Enrique Iglesias Featuring Pitbull
2010-05-28,1250,A Little More Country Than That,Easton Corbin
2010-05-28,1264,Ride,Ciara Featuring Ludacris
2010-05-28,1278,Love Like Crazy,Lee Brice
2010-05-28,1292,Rose's Turn,Glee Cast
2010-05-28,1306,I Keep On Loving You,Reba
2010-05-28,1320,I'm Awesome,Spose
2010-05-28,1334,Today Was A Fairytale,Taylor Swift
2010-05-28,1348,Gypsy,Shakira
2010-05-28,1362,Somebody To Love,Justin Bieber Featuring Usher
2010-05-28,1376,Fistful Of Tears,Maxwell
2010-05-28,1390,All I Ever Wanted,Kelly Clarkson
2010-06-04,4,OMG,Usher Featuring will.i.am
2010-06-04,18,Airplanes,B.o.B Featuring Hayley Williams
2010-06-04,32,California Gurls,Katy Perry Featuring Snoop Dogg
2010-06-04,46,Break Your Heart,Taio Cruz Featuring Ludacris
2010-06-04,60,Nothin' On You,B.o.B Featuring Bruno Mars
2010-06-04,74,Alejandro,Lady Gaga
2010-06-04,88,Your Love Is My Drug,Ke$ha
2010-06-04,102,Can't Be Tamed,Miley Cyrus
2010-06-04,116,Not Afraid,Eminem
2010-06-04,130,Rude Boy,Rihanna
2010-06-04,144,"Hey, Soul Sister",Train
2010-06-04,158,Young Forever,Jay-Z + Mr. Hudson
2010-06-04,172,Need You Now,Lady Antebellum
2010-06-04,186,Bulletproof,La Roux
2010-06-04,200,In My Head,Jason Derulo
2010-06-04,214,Billionaire,Travie McCoy Featuring Bruno Mars
2010-06-04,228,Breakeven,The Script
2010-06-04,242,My Chick Bad,Ludacris Featuring Nicki Minaj
2010-06-04,256,Over,Drake
2010-06-04,270,Find Your Love,Drake
2010-06-04,284,Rock That Body,The Black Eyed Peas
2010-06-04,298,Telephone,Lady Gaga Featuring Beyonce
2010-06-04,312,Eenie Meenie,Sean Kingston & Justin Bieber
2010-06-04,326,Haven't Met You Yet,Michael Buble
2010-06-04,340,TiK ToK,Ke$ha
2010-06-04,354,Dream On,Glee Cast Featuring Neil Patrick Harris
2010-06-04,368,Un-Thinkable (I'm Ready),Alicia Keys
2010-06-04,382,The House That Built Me,Miranda Lambert
2010-06-04,396,Whataya Want From Me,Adam Lambert
2010-06-04,410,Winner,Jamie Foxx Featuring Justin Timberlake & T .I.
2010-06-04,424,I Dreamed A Dream,Glee Cast Featuring Idina Menzel
2010-06-04,438,Imma Be,The Black Eyed Peas
2010-06-04,452,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne"
2010-06-04,466,My First Kiss,3OH!3 Featuring Ke$ha
2010-06-04,480,Bad Romance,Lady Gaga
2010-06-04,494,Say Aah,Trey Songz Featuring Fabolous
2010-06-04,508,Carry Out,Timbaland Featuring Justin Timberlake
2010-06-04,522,Baby,Justin Bieber Featuring Ludacris
2010-06-04,536,All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross"
2010-06-04,550,Cooler Than Me,Mike Posner
2010-06-04,564,Impossible,Shontelle
2010-06-04,578,If We Ever Meet Again,Timbaland Featuring Katy Perry
2010-06-04,592,I Gotta Feeling,The Black Eyed Peas
2010-06-04,606,All The Right Moves,OneRepublic
2010-06-04,620,Hey Daddy (Daddy's Home),Usher Featuring Plies
2010-06-04,634,This Afternoon,Nickelback
2010-06-04,648,Pray For You,Jaron And The Long Road To Love
2010-06-04,662,Lose My Mind,Young Jeezy Featuring Plies
2010-06-04,676,Touchin On My,3OH!3
2010-06-04,690,Gimmie That Girl,Joe Nichols
2010-06-04,704,Nightmare,Avenged Sevenfold
2010-06-04,718,American Honey,Lady Antebellum
2010-06-04,732,The Man I Want To Be,Chris Young
